Symbol
NSE:NIFTY50-INDEX
BSE:SENSEX-INDEX
NSE:GRASIM-EQ
NSE:NTPC-EQ
NSE:AUROPHARMA-EQ
NSE:LAURUSLABS-EQ
NSE:LENSKART-EQ
NSE:M&MFIN-EQ
NSE:ASHOKLEY-EQ
