Symbol
NSE:NIFTY50-INDEX
BSE:SENSEX-INDEX
NSE:GRASIM-EQ
NSE:TVSMOTOR-EQ
NSE:AUROPHARMA-EQ
NSE:BHARATFORG-EQ
NSE:LAURUSLABS-EQ
NSE:ASHOKLEY-EQ
