Symbol
NSE:WAAREERTL-EQ
NSE:AIIL-EQ
NSE:LODHA-EQ
NSE:BANKBARODA-EQ
NSE:NTPC-EQ
NSE:AUBANK-EQ
NSE:JINDALSTEL-EQ
