Symbol
NSE:MARUTI-EQ
NSE:AUROPHARMA-EQ
NSE:GABRIEL-EQ
NSE:CYIENTDLM-EQ
NSE:MASTEK-EQ
NSE:INDHOTEL-EQ
NSE:BANDHANBNK-EQ
NSE:ANANTRAJ-EQ
