Symbol
NSE:NIFTY50-INDEX
BSE:SENSEX-INDEX
NSE:SUNPHARMA-EQ
NSE:DIVISLAB-EQ
NSE:LAURUSLABS-EQ
NSE:FEDERALBNK-EQ
