Symbol
NSE:NIFTY50-INDEX
BSE:SENSEX-INDEX
NSE:TATACONSUM-EQ
NSE:BOSCHLTD-EQ
NSE:PIDILITIND-EQ
NSE:MOTHERSON-EQ
NSE:ADANIGREEN-EQ
NSE:LENSKART-EQ
